nome,sexo,data,hora,especie,xestimate,yestimate,id_poligon,classe,classe_bin,peso,micropaisa,mapa_bin2_
1361,2,2014-04-29,07:08,1,320201,7460649,32,res,N_MATA,83,3,           -20.00000
1361,2,2014-04-29,14:17,1,320233,7460312,164,pasto,N_MATA,83,3,           -20.00000
1361,2,2014-04-29,15:17,1,320282,7460514,164,pasto,N_MATA,83,3,           -22.36070
1361,2,2014-04-29,16:02,1,320322,7460449,164,pasto,N_MATA,83,3,           -22.36070
1361,2,2014-04-29,17:02,1,320305,7460448,164,pasto,N_MATA,83,3,           -20.00000
1361,2,2014-04-30,07:27,1,320264,7460300,164,pasto,N_MATA,83,3,           -20.00000
1421,1,2013-08-08,13:36,2,319370,7458715,145,res,N_MATA,78,2,           -63.24560
1421,1,2013-08-08,13:51,2,319355,7458657,145,res,N_MATA,78,2,           -10.00000
1421,1,2013-08-08,14:48,2,319390,7458659,145,res,N_MATA,78,2,           -10.00000
1421,1,2013-08-08,15:03,2,319396,7458749,148,pasto,N_MATA,78,2,           -58.30950
1421,1,2013-08-08,15:31,2,319117,7458814,144,res,N_MATA,78,2,          -100.00000
1421,1,2013-08-08,15:46,2,319353,7458916,2,veg,MATA,78,2,            31.62280
1421,1,2013-08-08,16:01,2,319366,7458909,2,veg,MATA,78,2,            30.00000
1421,1,2013-08-08,16:16,2,319361,7458913,2,veg,MATA,78,2,            31.62280
1421,1,2013-08-10,07:43,2,319513,7458843,148,pasto,N_MATA,78,2,           -50.00000
1421,1,2013-08-10,07:58,2,319465,7458716,148,pasto,N_MATA,78,2,           -50.00000
1421,1,2013-08-10,08:13,2,319396,7458745,145,res,N_MATA,78,2,           -58.30950
1421,1,2013-08-10,09:50,2,319449,7458682,148,pasto,N_MATA,78,2,           -10.00000
1421,1,2013-08-24,06:47,2,319423,7458719,148,pasto,N_MATA,78,2,           -50.00000
1421,1,2013-08-24,07:02,2,319435,7458715,148,pasto,N_MATA,78,2,           -50.00000
1421,1,2013-08-24,07:17,2,319428,7458686,148,pasto,N_MATA,78,2,           -20.00000
1421,1,2013-08-24,07:35,2,319433,7458718,148,pasto,N_MATA,78,2,           -50.00000
1421,1,2013-08-24,07:50,2,319421,7458734,148,pasto,N_MATA,78,2,           -60.00000
1421,1,2013-08-24,08:05,2,319397,7458775,148,pasto,N_MATA,78,2,           -44.72140
1421,1,2013-08-24,08:20,2,319392,7458771,148,pasto,N_MATA,78,2,           -41.23110
1421,1,2013-08-24,08:35,2,319412,7458760,148,pasto,N_MATA,78,2,           -63.24560
1421,1,2013-08-24,09:35,2,319256,7458758,144,res,N_MATA,78,2,           -10.00000
1421,1,2013-08-24,09:50,2,319380,7458721,145,res,N_MATA,78,2,           -63.24560
1421,1,2013-08-24,10:05,2,319325,7458737,145,res,N_MATA,78,2,           -22.36070
1421,1,2013-08-25,06:55,2,318410,7458922,54,plant,N_MATA,78,2,          -191.05000
1421,1,2013-08-25,07:10,2,319416,7458701,148,pasto,N_MATA,78,2,           -30.00000
1421,1,2013-09-07,15:40,2,318838,7459110,144,res,N_MATA,78,2,           -20.00000
1421,1,2013-09-07,15:55,2,319247,7458662,144,res,N_MATA,78,2,           -10.00000
1421,1,2013-09-07,16:05,2,319331,7458641,0,veg,MATA,78,2,            22.36070
1421,1,2013-09-08,08:26,2,319139,7458760,144,res,N_MATA,78,2,           -85.44000
1421,1,2013-09-08,08:41,2,319352,7458641,0,veg,MATA,78,2,            20.00000
1421,1,2013-09-08,08:56,2,319330,7458661,145,res,N_MATA,78,2,            10.00000
1421,1,2013-09-08,10:11,2,319121,7458681,144,res,N_MATA,78,2,          -130.38400
1421,1,2013-09-08,10:26,2,319362,7458640,0,veg,MATA,78,2,            20.00000
1421,1,2013-09-20,10:19,2,319245,7458590,0,veg,MATA,78,2,            30.00000
1421,1,2013-12-14,14:00,2,319192,7458510,144,res,N_MATA,78,2,           -20.00000
1421,1,2013-12-14,14:15,2,319237,7458498,0,veg,MATA,78,2,            28.28430
1421,1,2013-12-15,15:32,2,319199,7458726,144,res,N_MATA,78,2,           -63.24560
1461,1,2013-06-24,09:51,2,321195,7459142,8,veg,MATA,73,1,            14.14210
1461,1,2013-07-06,07:52,2,321328,7459027,8,veg,MATA,73,1,            10.00000
1461,1,2013-07-06,08:27,2,321336,7459033,8,veg,MATA,73,1,            10.00000
1461,1,2013-07-06,08:45,2,321472,7459009,8,veg,MATA,73,1,            14.14210
1461,1,2013-07-06,12:38,2,321388,7459062,8,veg,MATA,73,1,            20.00000
1461,1,2013-07-06,13:00,2,320892,7459123,338,pasto,N_MATA,73,1,           -80.00000
1461,1,2013-07-06,13:17,2,321114,7458999,334,pasto,N_MATA,73,1,           -30.00000
1461,1,2013-07-06,13:31,2,321178,7459053,8,veg,MATA,73,1,            36.05550
1461,1,2013-07-06,14:27,2,321445,7459050,8,veg,MATA,73,1,            10.00000
1461,1,2013-07-06,14:50,2,321338,7459084,338,pasto,N_MATA,73,1,           -14.14210
1461,1,2013-07-06,15:05,2,321379,7459126,338,pasto,N_MATA,73,1,           -22.36070
1461,1,2013-07-07,08:25,2,321026,7459042,106,veg,MATA,73,1,            10.00000
1461,1,2013-07-07,08:40,2,321047,7459042,106,veg,MATA,73,1,            10.00000
1461,1,2013-07-07,08:59,2,320989,7458947,333,pasto,N_MATA,73,1,           -22.36070
1461,1,2013-07-07,09:15,2,321079,7458914,334,pasto,N_MATA,73,1,           -10.00000
1461,1,2013-07-07,09:55,2,321475,7458951,339,pasto,N_MATA,73,1,           -41.23110
